pairs,predict_proba
"(2557927.0, 2559164.0)",6.970960593178832
"(494307.0, 2543505.0)",6.969272557113828
"(2540288.0, 2552262.0)",6.954854515162076
"(2552312.0, 2553655.0)",6.950351254220058
"(2539932.0, 2543855.0)",6.937716437376226
"(2495153.0, 2555568.0)",6.930230447553629
"(2556475.0, 2557980.0)",6.926693200909453
"(2540288.0, 2543872.0)",6.921750408898372
"(2525323.0, 2555177.0)",6.918608032394883
"(2543855.0, 2558009.0)",6.917426181893091
"(2495507.0, 2560917.0)",6.907513762006043
"(2533008.0, 2558061.0)",6.877269020035699
"(2543637.0, 2556475.0)",6.838161052701036
"(2307.0, 2560827.0)",6.8216563133616095
"(2557980.0, 2560916.0)",6.812742138077949
"(2541200.0, 2559054.0)",6.782318390781809
"(2555173.0, 2560921.0)",6.770607541503037
"(2555310.0, 2555531.0)",6.758872861604972
"(2541832.0, 2555531.0)",6.756504070806689
"(2495153.0, 2507167.0)",6.742927545731904
"(494289.0, 2553500.0)",6.727943138853881
"(2558005.0, 2558065.0)",6.716208146635716
"(2495153.0, 2560819.0)",6.678007782520219
"(2495775.0, 2508107.0)",6.676492780445189
"(71441.0, 2535609.0)",6.663736420175667
"(2560789.0, 2561131.0)",6.6395321703181
"(2556934.0, 2561039.0)",6.627482116192477
"(2499278.0, 2558157.0)",6.623018314667792
"(71441.0, 2557955.0)",6.596794147651503
"(2495153.0, 2555394.0)",6.592150922821722
"(2552434.0, 2560966.0)",6.590354910193939
"(2552484.0, 2558061.0)",6.562352922360631
"(2557855.0, 2557955.0)",6.5572711543508415
"(2557880.0, 2560886.0)",6.519071226282817
"(2543720.0, 2560916.0)",6.518045685791597
"(2543720.0, 2552389.0)",6.518045685791597
"(2550164.0, 2555540.0)",6.50949695172505
"(2540288.0, 2557855.0)",6.507235848157045
"(2556475.0, 2560916.0)",6.5054203107956114
"(2539334.0, 2539653.0)",6.505362273254488
"(2495807.0, 2530491.0)",6.505245963849976
"(2506861.0, 2532828.0)",6.4951695311154785
"(2532986.0, 2555342.0)",6.46518765614304
"(2495504.0, 2543855.0)",6.453981095013562
"(1302.0, 2556593.0)",6.447664309689863
"(2556148.0, 2556828.0)",6.445106088199288
"(2552689.0, 2560795.0)",6.42666278929865
"(2556148.0, 2559164.0)",6.420729838621004
"(2543851.0, 2560713.0)",6.416119625861429
"(2533008.0, 2555277.0)",6.410459211695127
"(2539311.0, 2543637.0)",6.393135424418487
"(2556587.0, 2559260.0)",6.39118776802804
"(2499278.0, 2560917.0)",6.3730332580962425
"(2539653.0, 2556445.0)",6.360407374941812
"(2532828.0, 2560930.0)",6.346929378437709
"(2552568.0, 2557840.0)",6.34661103871347
"(80668.0, 2540152.0)",6.338301826921224
"(2535609.0, 2540288.0)",6.332287491966042
"(2508004.0, 2508107.0)",6.32815171336121
"(2556148.0, 2560760.0)",6.327189597120565
"(2499278.0, 2550654.0)",6.30386937849758
"(1302.0, 2552488.0)",6.294999791893019
"(2543597.0, 2560822.0)",6.271786219662918
"(2530491.0, 2543855.0)",6.2661357863247105
"(2540288.0, 2557955.0)",6.202014933497791
"(2532848.0, 2556711.0)",6.200172430879365
"(2539932.0, 2558009.0)",6.193783031383003
"(2525323.0, 2543459.0)",6.167567095631464
"(2507917.0, 2530510.0)",6.151696057984875
"(2532877.0, 2553353.0)",6.135169420189349
"(2539943.0, 2560886.0)",6.067467683118331
"(2550930.0, 2556278.0)",6.065623846330205
"(2532898.0, 2560946.0)",6.060427583569963
"(2539311.0, 2555166.0)",6.060099267125621
"(2543872.0, 2557955.0)",6.051417715572944
"(2506861.0, 2557945.0)",6.04093241334466
"(2556443.0, 2561132.0)",6.039959113730893
"(2558184.0, 2561132.0)",6.039959113730893
"(2556445.0, 2561132.0)",6.037883348292388
"(2555329.0, 2556711.0)",6.03369021443353
"(79848.0, 2560795.0)",6.031785526085093
"(2508107.0, 2540164.0)",6.031563267312746
"(2556567.0, 2556934.0)",6.028563316989452
"(2550842.0, 2559164.0)",6.009296543822902
"(2539290.0, 2560766.0)",6.009215266405747
"(2533008.0, 2558163.0)",5.992844324747885
"(2525323.0, 2540155.0)",5.9765612929235346
"(2507167.0, 2532986.0)",5.967611970239594
"(2507917.0, 2555550.0)",5.95325491677003
"(2532800.0, 2560795.0)",5.93660034857343
"(2555531.0, 2557920.0)",5.934764856322144
"(2552389.0, 2560964.0)",5.9331124731819695
"(2560725.0, 2560966.0)",5.9309152589405105
"(2507817.0, 2539240.0)",5.929782445520315
"(2557961.0, 2561131.0)",5.9242926137942655
"(2556456.0, 2557945.0)",5.910384094293411
"(2495153.0, 2558062.0)",5.904540587167098
"(2557867.0, 2560766.0)",5.898387329310466
"(2508107.0, 2543464.0)",5.894911059679562
"(2543459.0, 2553655.0)",5.872381207439516
"(2555280.0, 2556711.0)",5.850172430879366
"(2555277.0, 2558061.0)",5.843880217902717
"(2543681.0, 2553500.0)",5.837666784912165
"(2552312.0, 2560746.0)",5.797449639959895
"(2543811.0, 2556429.0)",5.794252328901229
"(2539334.0, 2560830.0)",5.782271615136961
"(2553655.0, 2559012.0)",5.782076723112475
"(2495807.0, 2543855.0)",5.781559991299636
"(2532948.0, 2559012.0)",5.780653772658939
"(2552484.0, 2555277.0)",5.76162304861502
"(2495613.0, 2552689.0)",5.756548882736375
"(2543459.0, 2552448.0)",5.7496004221564565
"(2539320.0, 2550613.0)",5.739384809624725
"(71441.0, 2540288.0)",5.73351551243498
"(2532800.0, 2559260.0)",5.721012280045526
"(2539334.0, 2561132.0)",5.720810177560681
"(2558184.0, 2560830.0)",5.711345339144523
"(2533059.0, 2555322.0)",5.708021398080468
"(1302.0, 2558183.0)",5.693787239413124
"(2532986.0, 2555568.0)",5.690485950147258
"(79848.0, 2558168.0)",5.680492147513904
"(2495613.0, 2557958.0)",5.676838178568067
"(2559054.0, 2560819.0)",5.664299328997605
"(2553796.0, 2557880.0)",5.640524691930295
"(2525323.0, 2560746.0)",5.640403853414027
"(2553500.0, 2558176.0)",5.637666784912165
"(2507167.0, 2541200.0)",5.635057672811783
"(2552568.0, 2555531.0)",5.634741674412912
"(496735.0, 2495872.0)",5.634184376043589
"(2558159.0, 2560908.0)",5.614449763868369
"(2539982.0, 2558061.0)",5.599295446137093
"(2354.0, 2539320.0)",5.592638134705885
"(2557955.0, 2560913.0)",5.5844851256255
"(2533008.0, 2558847.0)",5.576166125035691
"(1037374.0, 2556593.0)",5.574549266833545
"(2530510.0, 2532898.0)",5.55259752337263
"(2495251.0, 2495872.0)",5.546887257644707
"(2539320.0, 2558005.0)",5.524974780648036
"(2506861.0, 2556567.0)",5.523413725933615
"(2557958.0, 2560795.0)",5.520986266277663
"(2555322.0, 2560822.0)",5.501027131993639
"(2543459.0, 2560746.0)",5.495581719026675
"(2555342.0, 2559054.0)",5.48955126022967
"(2543592.0, 2555173.0)",5.468218988583818
"(2557840.0, 2557920.0)",5.4602214664851285
"(494259.0, 2541162.0)",5.458369945309148
"(2495613.0, 2558168.0)",5.457924251284064
"(2552697.0, 2556480.0)",5.447887322606132
"(2555255.0, 2560830.0)",5.4224792251654295
"(2495613.0, 2559260.0)",5.4164084489864255
"(2495613.0, 2552315.0)",5.409003315468301
"(2552385.0, 2553500.0)",5.406897554142933
"(2495507.0, 2499278.0)",5.3730332580962425
"(2535609.0, 2552262.0)",5.36466262229389
"(2540219.0, 2555322.0)",5.359408420102334
"(2539932.0, 2543830.0)",5.357654817307815
"(2539320.0, 2555158.0)",5.354906557657951
"(2532800.0, 2557958.0)",5.348014375169555
"(2532861.0, 2556828.0)",5.344359116090329
"(2553655.0, 2558033.0)",5.341670012043356
"(2556445.0, 2560830.0)",5.336904991346798
"(2495153.0, 2555342.0)",5.324746944600856
"(2553353.0, 2560822.0)",5.303796246546747
"(2557945.0, 2560930.0)",5.292790968619438
"(2539320.0, 2558065.0)",5.284276312140741
"(2556456.0, 2556567.0)",5.267600928571003
"(2552697.0, 2560952.0)",5.2541982139831855
"(2530491.0, 2543830.0)",5.232077913376042
"(2541200.0, 2555568.0)",5.22247628027912
"(2543637.0, 2555166.0)",5.22030263980084
"(2555166.0, 2555540.0)",5.220023679738804
"(2495343.0, 2553353.0)",5.218202535098227
"(2495343.0, 2557979.0)",5.216203424322285
"(2552315.0, 2560795.0)",5.211937078185983
"(2541832.0, 2560908.0)",5.208574767728417
"(2532948.0, 2560746.0)",5.199494762504936
"(2539653.0, 2543850.0)",5.194378181379992
"(2533059.0, 2540219.0)",5.1869063692409725
"(2543850.0, 2556445.0)",5.180206118475274
"(2560917.0, 2561117.0)",5.174490635141242
"(2539653.0, 2555255.0)",5.173621428082521
"(2539334.0, 2557967.0)",5.162504707480576
"(2557927.0, 2560760.0)",5.159292193062187
"(2560917.0, 2561006.0)",5.151998421725527
"(2495807.0, 2557887.0)",5.1496971739298365
"(2556567.0, 2561039.0)",5.144217508439526
"(2495613.0, 2560795.0)",5.14261896014313
"(2495281.0, 2560886.0)",5.137187247886223
"(2506789.0, 2556480.0)",5.135935643435995
"(2506789.0, 2552697.0)",5.1313570443737255
"(71423.0, 2539320.0)",5.129795089749018
"(2539334.0, 2543850.0)",5.1262930749970135
"(2505708.0, 2555175.0)",5.094875377930224
"(2539935.0, 2560966.0)",5.0916543262470775
"(2495775.0, 2505660.0)",5.076198979526018
"(2555277.0, 2555530.0)",5.045359765501119
"(2507917.0, 2543505.0)",5.038592260073948
"(2555530.0, 2558163.0)",5.026589889217513
"(2535609.0, 2560913.0)",5.022074075945856
"(2543470.0, 2552697.0)",5.008280121296802
"(2558136.0, 2560886.0)",4.998753965475746
